SEGMENT_CODE,LANGUAGE,SEGMENT_NAME,SEGMENT_DESCRIPTION
1,EN,Outdoors Shop - Exclusive,"Primarily offers camping supplies, hiking equipment, and other gear for outdoor activities.  Concentrates on offering more expensive gear and on providing a high level of service."
2,EN,Outdoors Shop,"Primarily offers camping supplies, hiking equipment, and other gear for outdoor activities"
3,EN,Golf Shop,Primarily offers golf equipment and accessories.
4,EN,Department Store - Exclusive,Offers a wide range of goods.  Concentrates on offering more expensive products and on providing a high level of service.
5,EN,Department Store,Offers a wide range of goods.
6,EN,Direct Marketing - Exclusive,"Offers a wide range of goods through mail order, telephone or Internet sales.  Concentrates on offering more expensive products."
7,EN,Direct Marketing,"Offers a wide range of goods through mail order, telephone or Internet sales."
8,EN,Warehouse Store,Offers a wide range of goods in a large warehouse setting with a minimum of service available.
9,EN,Equipment Rental Store,Offers various sports and outdoors equipment for short or long term rental.
10,EN,Eyewear Store,Primarily offers prescription and fashion eyewear.
11,EN,Sports Store - Exclusive,Primarily offers a wide range of sporting goods.  Concentrates on offering higher priced merchandise.
12,EN,Sports Store,Primarily offers a wide range of sporting goods.
